X,Y,best_k,max_corr,sharpness,n_samples
zwack,mol,9,0.559794840854156,0.606846788481265,103
4ig,pannergy,7,0.5594745668841455,0.23053987077825788,102
mol,dunahouse,14,0.5588515128036847,0.3294478804980908,103
akko,opus,5,0.5580020780595191,0.0,103
4ig,otp,5,0.554742744282282,0.0,103
waberers,mtelekom,5,0.5506293281585458,0.0,103
delta,dunahouse,6,0.5501607249971916,0.20208818878865714,103
granit,otp,13,0.5496279956462335,0.21709205373673063,103
delta,waberers,5,0.5432335634499921,0.0,103
delta,richter,6,0.5423969796581048,0.05168882933955121,103
raba,alteo,6,0.5409823033110615,0.3202231278864501,103
autowallis,vertikal,6,0.5400934996792641,0.5422842845411471,103
bif,mol,7,0.5399561028341932,0.8629148740859938,100
esense,mtelekom,11,0.539833069247275,0.972421080135895,101
richter,vertikal,5,0.5393503915266672,0.0,103
otp,any,6,0.5389310901265003,0.32404356127844847,103
gspark,opus,13,0.5347514044165462,0.306179293953902,102
4ig,granit,6,0.534071009568706,0.16775303821597998,103
4ig,bif,11,0.5315808248102404,0.23405746650814985,100
bif,mtelekom,12,0.5306156517580203,0.801120274076067,100
mol,waberers,8,0.5293885015907144,0.13734729890164749,103
raba,mol,6,0.5292499499791624,0.7959690736876912,103
pannergy,vertikal,10,0.5291632283927478,0.1678725282183277,102
dunahouse,any,6,0.5277420693063751,0.06086064867707808,103
delta,mol,9,0.5273739978462944,0.8362282325210396,103
delta,4ig,5,0.5270936127733656,0.0,103
delta,gspark,8,0.5269378627114825,0.23779973808085675,102
otp,granit,6,0.525307950787255,0.31039264785048626,103
gspark,dunahouse,5,0.5245680927645673,0.0,102
zwack,mtelekom,5,0.5237075200255145,0.0,103
alteo,granit,10,0.5226598300237373,0.3825156228403134,103
mol,richter,6,0.5216463479020007,0.6878265461552188,103
mol,zwack,6,0.5214670742160918,0.47926429465131104,103
dunahouse,mtelekom,9,0.5196240379460261,0.8411292887006471,103
waberers,bif,5,0.5181400896291755,0.0,100
granit,mtelekom,9,0.5178177803420746,0.7492476762974594,103
appeninn,alteo,8,0.5165804889432408,0.29667342491287557,103
any,dunahouse,6,0.5152247287969485,0.020493176850917894,103
raba,any,12,0.5140508791786993,0.26582167014316127,103
mol,otp,6,0.5139710969346957,0.2349914546870378,103
otp,mtelekom,7,0.5139441255319013,0.5954959559250703,103
esense,pannergy,13,0.5080484495884643,0.2723538894339037,100
mol,gspark,7,0.5072963635845218,0.06668716142843789,102
pannergy,akko,14,0.5054411429104978,0.32114628461880124,102
waberers,dunahouse,9,0.5044578267445282,0.1663665832956594,103
opus,mtelekom,10,0.5034209543197626,0.5197073379595188,103
richter,cigpannonia,10,0.5025472413810479,0.5509461933984576,102
masterplast,bif,5,0.5000973813549546,0.0,100
delta,cigpannonia,10,0.49976654097903106,0.30269930642925685,102
any,mtelekom,6,0.49950934339011094,0.671987153417203,103
opus,4ig,5,0.4987913505189518,0.0,103
cigpannonia,any,12,0.49787702579884596,0.3509728501480646,102
autowallis,dunahouse,13,0.4976886807565241,0.21199483659005447,103
zwack,cigpannonia,6,0.49657062537237157,0.16568790288375823,102
raba,bif,6,0.49548201836989714,0.08904184264512366,100
cigpannonia,alteo,15,0.4944632204409753,0.3101827735285098,102
appeninn,dunahouse,8,0.49408008711136264,0.5766453895702522,103
raba,delta,5,0.49294209507962733,0.0,103
appeninn,pannergy,5,0.49202246018874696,0.0,102
richter,alteo,5,0.49148637135707796,0.0,103
waberers,mol,10,0.49119383672743894,0.7532943072230349,103
opus,mol,6,0.4911504458752099,0.36664628264363824,103
gspark,akko,18,0.48961731238874556,0.20202517872728637,102
cigpannonia,mol,14,0.48957555099715483,0.6607236284635423,102
waberers,raba,8,0.4862733335539877,0.18730773434772424,103
appeninn,mol,5,0.4860083725438029,0.0,103
zwack,dunahouse,8,0.4854337798162802,0.10409463423809745,103
waberers,granit,12,0.48286841138214776,0.12663995884735363,103
cigpannonia,mtelekom,8,0.48086868451298015,0.5343510115429856,102
waberers,zwack,8,0.48004939757024667,0.36184435371286766,103
gspark,mol,7,0.47985910985267016,0.5114552662996733,102
akko,4ig,5,0.4788292388093443,0.0,103
autowallis,otp,9,0.47845821801783417,0.3215584866501134,103
waberers,delta,6,0.47845788925451677,0.329182231022574,103
zwack,bif,17,0.47679350851138563,0.21487364741250198,100
mtelekom,gspark,6,0.4755930427616069,0.5185210054225293,102
autowallis,bif,5,0.4747296128858347,0.0,100
pannergy,zwack,5,0.4739725459593724,0.0,102
mol,mtelekom,6,0.4722744785638488,0.655561314912799,103
zwack,raba,5,0.4720504476228484,0.0,103
zwack,granit,14,0.4709502602266074,0.4983610936096774,103
otp,richter,5,0.4707928840654522,0.0,103
cigpannonia,zwack,15,0.4702671255546098,0.5402979093434457,102
autowallis,alteo,7,0.4697877342729779,0.014504916587399275,103
esense,opus,18,0.46913352958951743,0.44444267581191665,101
mtelekom,cigpannonia,5,0.46822596716566117,0.0,102
alteo,akko,12,0.4680659510462642,0.1065331066422231,103
akko,pannergy,19,0.4652368697666344,0.0,102
pannergy,mol,6,0.46385512601337625,0.779516726056273,102
pannergy,gspark,5,0.4637881702439251,0.0,101
appeninn,mtelekom,6,0.4636194165041721,0.48440559464236593,103
4ig,mtelekom,7,0.4623847980404008,0.1063755980791033,103
alteo,vertikal,5,0.46228379494174504,0.0,103
4ig,delta,6,0.4605823418067505,0.2010282174360914,103
appeninn,waberers,6,0.4575447273364449,0.07733214242763964,103
any,otp,19,0.45685174381164095,0.0,103
zwack,akko,6,0.4566642234499925,0.4800969644240652,103
granit,alteo,5,0.45568449869168315,0.0,103
granit,mol,7,0.4555031613103952,0.6673172890341413,103
richter,opus,6,0.45507621089062567,0.4854228211681778,103
autowallis,any,6,0.4539615172114558,0.4511349278919599,103
granit,any,10,0.4528451713998879,0.43491713819329825,103
mtelekom,vertikal,9,0.4517191354824392,0.3321373113046168,103
dunahouse,vertikal,10,0.45113256792467427,0.19950800909541422,103
any,bif,11,0.45024965771054376,0.20136857140862496,100
mol,bif,5,0.44873021942961716,0.0,100
dunahouse,zwack,10,0.44844167799685203,0.5627961273544755,103
granit,gspark,5,0.44808936796750387,0.0,102
opus,zwack,6,0.4473849008362266,0.7884828644539565,103
delta,bif,6,0.44689987534496456,0.565739182746414,100
any,pannergy,9,0.44576605503119043,0.20644938448957406,102
akko,zwack,19,0.44530790323227715,0.0,103
bif,zwack,11,0.44430045390975004,0.4249736675563064,100
cigpannonia,gspark,5,0.4440266165652015,0.0,101
gspark,vertikal,6,0.44387352340623715,0.6543985288516182,102
autowallis,mol,9,0.44366812644514286,0.691038784353119,103
richter,bif,5,0.4423949971851721,0.0,100
cigpannonia,pannergy,8,0.44161037917157725,0.13216279600780223,101
autowallis,cigpannonia,5,0.4411515809894704,0.0,102
otp,vertikal,7,0.4410773480258362,0.559962226993812,103
opus,gspark,5,0.44048187954838236,0.0,102
akko,waberers,5,0.4401944002568387,0.0,103
autowallis,akko,15,0.4400108619674925,0.5529197495258689,103
opus,vertikal,19,0.4390787250340974,0.0,103
cigpannonia,akko,9,0.43890584446838266,0.11099828084259872,102
akko,cigpannonia,13,0.4378480943726733,0.17819846426461367,102
raba,otp,10,0.43782750426702194,0.398918634497907,103
pannergy,cigpannonia,11,0.4368187228215877,0.21190826405586222,101
akko,mol,6,0.4366105955345498,0.4387166042981164,103
otp,appeninn,13,0.43567162555324984,0.13683495074639385,103
bif,any,9,0.43522852521430655,0.39536640730927713,100
alteo,zwack,10,0.43490011593840194,0.5092784995614134,103
raba,cigpannonia,5,0.43460368381132997,0.0,102
masterplast,mtelekom,6,0.43434281192455076,0.2674280708282879,103
4ig,gspark,11,0.43309145511431824,0.6069703313103891,102
any,masterplast,5,0.43270065638736077,0.0,103
pannergy,alteo,6,0.43262644595439415,0.43471761918869173,102
mol,masterplast,5,0.43240582016955637,0.0,103
mtelekom,akko,11,0.43155396900328546,0.33381209955669217,103
otp,waberers,12,0.43124878839213177,0.13434863836900512,103
granit,waberers,12,0.4306361157015548,0.1423824949892396,103
bif,alteo,8,0.429654006602997,0.04174709094949258,100
vertikal,mol,5,0.4296135241152075,0.0,103
cigpannonia,dunahouse,12,0.42954442227951545,0.24684041060789902,102
richter,dunahouse,7,0.42942631848952423,0.5696925604326142,103
masterplast,gspark,17,0.42853481657490133,0.466462359447314,102
gspark,zwack,9,0.4279548462010894,0.4240485347104701,102
autowallis,opus,19,0.4279071010645053,0.0,103
any,raba,9,0.42670421985500984,0.18603421558145067,103
raba,dunahouse,6,0.4265955692525213,0.4393054376052017,103
bif,opus,12,0.4262328823805372,0.39605552743795963,100
mol,any,6,0.4240364630175831,0.17324860449338753,103
akko,mtelekom,6,0.4234932437790446,0.20502131516837158,103
raba,zwack,8,0.42274828586913926,0.4575624564170815,103
4ig,opus,8,0.4225548230707321,0.7386809487951186,103
akko,alteo,9,0.4219199795594364,0.5139255651623696,103
esense,waberers,16,0.4216495295249574,0.2891633355559003,101
otp,dunahouse,5,0.421400478919854,0.0,103
any,akko,11,0.42105414022537163,0.36162369267564387,103
alteo,gspark,11,0.42023069180724526,0.24278357954398044,102
akko,appeninn,19,0.41852887529043187,0.0,103
mtelekom,opus,5,0.4182372055870327,0.0,103
zwack,gspark,5,0.41807363324869184,0.0,102
zwack,alteo,5,0.4180316206354391,0.0,103
esense,any,9,0.41761998472323514,0.4920510907677683,101
esense,granit,9,0.41684346641213604,0.4172896770443918,101
dunahouse,cigpannonia,5,0.4166068790344665,0.0,102
mtelekom,dunahouse,11,0.41533711581056815,0.2829909879968696,103
raba,waberers,11,0.41520752790252735,0.4278041446146017,103
appeninn,delta,6,0.4146289127788245,0.37556405414403315,103
otp,mol,10,0.4137739804492823,0.558304812363729,103
any,gspark,9,0.41331323767998007,0.38967604923167876,102
vertikal,pannergy,6,0.41330960284023616,0.3149694246308227,102
appeninn,bif,7,0.41305496963930105,0.42768781580056064,100
cigpannonia,waberers,11,0.41282083803505537,0.09973758105280978,102
appeninn,any,14,0.4121353058875397,0.2721754118714056,103
zwack,waberers,5,0.4121141234756374,0.0,103
akko,gspark,13,0.4117388907162745,0.18304254393591318,102
vertikal,richter,9,0.41144772498368437,0.49504066032824817,103
dunahouse,gspark,7,0.40902978747629404,0.205932401215626,102
pannergy,granit,19,0.40847189540472506,0.0,102
opus,granit,9,0.40843238939668847,0.13072629053183815,103
autowallis,waberers,10,0.40837739249474486,0.3499432080113741,103
esense,cigpannonia,9,0.40799985416877343,0.2434576459967591,100
masterplast,waberers,10,0.4075272980128707,0.23864122407006777,103
richter,masterplast,5,0.4074580673571494,0.0,103
any,alteo,18,0.4073139695889567,0.3782878643541476,103
pannergy,esense,6,0.40700514088846296,0.02336577260820688,100
esense,dunahouse,10,0.4043677421059941,0.4930536036390191,101
granit,opus,9,0.40407294923406306,0.49763558770073985,103
bif,vertikal,7,0.4034411520531939,0.4331793706602869,100
opus,bif,7,0.4033447999649721,0.11270710767571096,100
otp,gspark,15,0.40316397494055195,0.2519480719021301,102
zwack,opus,11,0.4028734633228801,0.32198921735981795,103
4ig,akko,12,0.40269422942946537,0.08283885338322289,103
pannergy,otp,10,0.40095420279328947,0.27929798373318904,102
alteo,dunahouse,19,0.3996225455274936,0.0,103
zwack,any,7,0.3988375900939618,0.2671417271531417,103
bif,akko,6,0.3972979950922021,0.5569992769087867,100
gspark,alteo,7,0.39704349259748084,0.5942148426053503,102
bif,dunahouse,9,0.3967331377399276,0.4897552512922255,100
pannergy,dunahouse,7,0.39603928022848833,0.5660378893519862,102
raba,mtelekom,9,0.39432419223521903,0.20918788571840624,103
esense,gspark,13,0.3938589365250852,0.5267618418569949,100
mtelekom,bif,13,0.39384657769376025,0.22754587398547682,100
mol,alteo,17,0.393807081023933,0.39259127183483333,103
dunahouse,mol,6,0.39380254453004937,0.6639287293810109,103
mol,delta,5,0.39238148220100344,0.0,103
raba,gspark,10,0.39219738926801645,0.10324219858993461,102
dunahouse,granit,10,0.3915123008918477,0.7165151320207364,103
esense,zwack,6,0.39040720552731745,0.17431301339877076,101
esense,alteo,10,0.3898997135489375,0.4683815222621199,101
gspark,any,7,0.3873159181568687,0.4285488186990286,102
delta,any,19,0.3863371819255057,0.0,103
any,cigpannonia,15,0.3843359313627666,0.1726705642397024,102
pannergy,any,5,0.38400647365979657,0.0,102
gspark,cigpannonia,10,0.3837677373232498,0.3314799910256635,101
masterplast,otp,10,0.38371728195496857,0.3410440155304919,103
bif,delta,13,0.3831583163539414,0.5142233609980547,100
masterplast,akko,6,0.3829536394886614,0.18375304298603495,103
waberers,cigpannonia,9,0.3825992697100945,0.2931274750488144,102
vertikal,gspark,6,0.3825796775205638,0.07571454621148765,102
zwack,vertikal,9,0.38254985640434125,0.1467566669440239,103
vertikal,mtelekom,6,0.37995701493520306,0.6208882974485914,103
mol,granit,14,0.3799164094181367,0.3239067031201509,103
waberers,gspark,11,0.3796599416524406,0.5656097313061605,102
gspark,delta,7,0.3796272204574597,0.3307734940475854,102
richter,delta,5,0.3795133178216594,0.0,103
vertikal,cigpannonia,11,0.3791721140363384,0.056835406026609414,102
granit,delta,6,0.37906973479205885,0.2260996924446989,103
cigpannonia,granit,13,0.3790284208813361,0.5493137725534796,102
appeninn,vertikal,11,0.37710770323121867,0.07219449331966249,103
akko,richter,19,0.37708471693520723,0.0,103
opus,dunahouse,19,0.37679507228412823,0.0,103
otp,esense,19,0.37661418993678913,0.0,101
esense,delta,9,0.3760427542120755,0.4814400134317926,101
pannergy,richter,8,0.3748531870146022,0.19041606323466262,102
esense,vertikal,15,0.37460105565250945,0.12231601536970793,101
zwack,appeninn,15,0.3744185505356362,0.11020050680183585,103
raba,vertikal,11,0.3743302735461667,0.2763856457407855,103
alteo,any,9,0.37409390343128796,0.09587791411475893,103
mtelekom,pannergy,18,0.3733710085310785,0.05057204514800384,102
opus,akko,6,0.3729392862956983,0.5032492836766673,103
cigpannonia,otp,6,0.3725907566605889,0.535363132115649,102
masterplast,dunahouse,10,0.37098451133683374,0.18521350273535558,103
opus,otp,8,0.3701332257720063,0.1728682373832497,103
waberers,pannergy,17,0.369382989255896,0.16913527621925584,102
granit,richter,9,0.3692579444189929,0.5303118439319306,103
delta,zwack,5,0.3677641225431718,0.0,103
richter,waberers,5,0.36634446656875774,0.0,103
akko,any,5,0.36549647749878006,0.0,103
delta,pannergy,5,0.3652126731536442,0.0,102
masterplast,pannergy,5,0.3651656255774495,0.0,102
alteo,otp,8,0.3649028457550202,0.4055383556098794,103
otp,4ig,5,0.3645534204817504,0.0,103
masterplast,cigpannonia,15,0.3640503196721812,0.09392159795896404,102
vertikal,zwack,12,0.36347831543806125,0.5328518266271428,103
richter,esense,7,0.36230347871032714,0.19964978580482007,101
granit,vertikal,9,0.3620618278857641,0.24048106727022733,103
dunahouse,otp,13,0.3614481788789048,0.05806063875803652,103
vertikal,alteo,5,0.3606846433940611,0.0,103
mtelekom,raba,13,0.3600935849201013,0.23671115329552295,103
richter,mtelekom,14,0.36008194364529916,0.5331447336205203,103
zwack,otp,15,0.35983390528864534,0.10559068644666969,103
autowallis,zwack,5,0.35959012797869583,0.0,103
gspark,otp,6,0.35955126744926597,0.372861077435242,102
appeninn,richter,5,0.35906307307346275,0.0,103
mtelekom,otp,19,0.3587376549262741,0.0,103
cigpannonia,vertikal,11,0.3585041139228467,0.4316105273673483,102
gspark,mtelekom,16,0.35746064433114466,0.4116801042643891,102
delta,appeninn,15,0.35518839253202994,0.26195637476138456,103
granit,zwack,11,0.35416543918586463,0.1002669187486881,103
mtelekom,richter,14,0.35412712689202697,0.3160707010402107,103
masterplast,4ig,5,0.35198580620986,0.0,103
zwack,masterplast,5,0.3517737461264361,0.0,103
dunahouse,esense,5,0.3517372690326396,0.0,101
vertikal,opus,7,0.35122885292197037,0.1591578588559616,103
mtelekom,mol,6,0.3486696557691424,0.47029943444694244,103
gspark,richter,7,0.34864087381692566,0.6468395893864971,102
4ig,waberers,5,0.34809182942932554,0.0,103
alteo,pannergy,11,0.3480368051447692,0.24847488754958563,102
bif,otp,15,0.34796635100127393,0.4408448381512079,100
otp,zwack,9,0.34639330085929143,0.27454937291876913,103
4ig,esense,5,0.34614429423745563,0.0,101
raba,esense,5,0.34581226459782666,0.0,101
esense,otp,5,0.34580662598317147,0.0,101
any,richter,13,0.3447325521270084,0.25964155388387283,103
appeninn,cigpannonia,12,0.34444754611366674,0.22158620985983066,102
cigpannonia,raba,5,0.3442552070634123,0.0,102
richter,any,15,0.3440359967978404,0.23274517796908403,103
akko,otp,13,0.34211421170381096,0.2578244121909307,103
waberers,any,11,0.3420120477356807,0.23139100439618399,103
granit,pannergy,6,0.3413898062573129,0.22789710246979655,102
bif,richter,7,0.3407437364710927,0.2833240981671327,100
appeninn,raba,6,0.33984039758230034,0.3102877921223974,103
opus,alteo,8,0.33826674976973287,0.4410240213200956,103
vertikal,akko,7,0.3381880736627112,0.4538402926961756,103
zwack,4ig,5,0.3378270534776386,0.0,103
pannergy,mtelekom,11,0.3364224512042889,0.2672711058344239,102
pannergy,waberers,7,0.3360133015060017,0.16158632883719073,102
richter,appeninn,11,0.3333884608666628,0.17060795608078677,103
gspark,granit,16,0.33142648357269916,0.35116434946205183,102
masterplast,any,7,0.33071050829048093,0.2163466645086359,103
delta,vertikal,6,0.33065009688740143,0.5752026181980521,103
any,granit,12,0.32943191396252175,0.3849551081060608,103
dunahouse,alteo,6,0.3294067062048785,0.14971482763837662,103
otp,pannergy,7,0.3281518232831269,0.17036112871161185,102
waberers,richter,10,0.32733677255448,0.3789118832304279,103
raba,akko,7,0.3268227505719391,0.5376776744789158,103
gspark,raba,5,0.32659957580255583,0.0,102
vertikal,raba,5,0.3265995758025558,0.0,103
esense,richter,16,0.3265148514012093,0.14711048211466254,101
vertikal,otp,18,0.32527343172465195,0.0272997776322072,103
opus,cigpannonia,14,0.32306678139015677,0.15817167688245654,102
masterplast,appeninn,14,0.31971178888662866,0.1677196880747479,103
autowallis,gspark,5,0.31786743764319714,0.0,102
raba,pannergy,5,0.31731904576812336,0.0,102
vertikal,granit,7,0.3171783901192674,0.3778956371210968,103
masterplast,granit,5,0.31712170501205034,0.0,103
masterplast,richter,10,0.3164991126854802,0.2586077210507402,103
richter,akko,19,0.3137515416209872,0.0,103
bif,waberers,6,0.31335281706468254,0.050562674575459876,100
gspark,appeninn,15,0.3132436839635916,0.11696446526066795,102
richter,gspark,6,0.3129919232141733,0.2337093888399952,102
granit,dunahouse,13,0.31028129895334927,0.05133668265922897,103
granit,raba,19,0.3100441551028571,0.0,103
dunahouse,pannergy,6,0.30939371346003786,0.285208778201437,102
mtelekom,alteo,11,0.3085598083066406,0.323349875766762,103
otp,delta,7,0.30831112675458566,0.4787943603924863,103
opus,waberers,12,0.306987057026655,0.27628247680596246,103
otp,alteo,11,0.30534339714517034,0.4879146694459422,103
4ig,richter,14,0.30463595548792366,0.39985634803770187,103
bif,4ig,6,0.30284844786314163,0.131529060060146,100
opus,richter,8,0.3022739397482986,0.2792082381714969,103
4ig,zwack,6,0.30177327995353714,0.46936400161036673,103
dunahouse,delta,6,0.3009642767614668,0.25835366764499185,103
alteo,raba,5,0.29820790574503125,0.0,103
richter,4ig,6,0.2978492469307571,0.12429029663834515,103
vertikal,delta,7,0.2970705209976827,0.47316721126459077,103
zwack,delta,8,0.29576561928283324,0.5289082432643788,103
opus,pannergy,6,0.2947247391097548,0.031028212716114112,102
mtelekom,delta,5,0.29329237144665693,0.0,103
masterplast,delta,12,0.2908502905783512,0.3147693507787447,103
masterplast,zwack,7,0.2905850615543981,0.44804483171805864,103
zwack,pannergy,19,0.29043454119608064,0.0,102
autowallis,appeninn,11,0.2901353979489038,0.29141568904417936,103
opus,delta,9,0.28957371608270227,0.3492091630963838,103
appeninn,autowallis,7,0.2892339483318915,0.14560791271560125,103
any,waberers,18,0.2885713236211214,0.20700234619257496,103
gspark,autowallis,9,0.2864670517029327,0.034962254841730434,102
alteo,delta,12,0.2857907763726626,0.2770515051793534,103
any,delta,6,0.28382975010747363,0.13920355199898532,103
akko,granit,19,0.28305628067137795,0.0,103
bif,masterplast,5,0.28275550095474244,0.0,100
gspark,waberers,8,0.2823067019285288,0.28708154134232405,102
delta,granit,6,0.2820890947026183,0.1478979351837666,103
appeninn,esense,5,0.2819305733552976,0.0,101
cigpannonia,delta,13,0.28095762546161845,0.2763793981989351,102
dunahouse,richter,14,0.2803859658989625,0.13812217530064672,103
granit,masterplast,5,0.28000505808166765,0.0,103
appeninn,zwack,15,0.2794282250658279,0.20459013502789414,103
4ig,cigpannonia,17,0.2793627293137841,0.12181343614755202,102
autowallis,delta,16,0.27926772022339014,0.3915155272881564,103
waberers,esense,17,0.275420432450358,0.23267898162576367,101
delta,akko,7,0.27321931664522786,0.22526433927159886,103
bif,raba,9,0.27178074301403576,0.09992061395917526,100
mtelekom,granit,18,0.269223631263835,0.2156004078532821,103
delta,autowallis,10,0.2692004375622067,0.1049201986496153,103
alteo,waberers,13,0.26903597008543056,0.40638642081511595,103
autowallis,esense,12,0.2684808734547215,0.2140601376958541,101
masterplast,alteo,8,0.2666330506599716,0.37108742140988615,103
mtelekom,zwack,10,0.26590830102010093,0.27088779153082765,103
cigpannonia,richter,12,0.2656294744450885,0.1812321299773657,102
otp,masterplast,5,0.26460492582944556,0.0,103
mtelekom,esense,5,0.26273977859712094,0.0,101
cigpannonia,esense,8,0.2626355517551681,0.16654854949464556,100
pannergy,raba,10,0.25934003064919836,0.25278192955960255,102
alteo,appeninn,5,0.25917260245728724,0.0,103
dunahouse,4ig,5,0.25831585144076685,0.0,103
mol,raba,16,0.2581707285503642,0.10442956877501891,103
otp,raba,7,0.2577576211889242,0.2657387568761918,103
raba,autowallis,5,0.2544334688548784,0.0,103
richter,zwack,10,0.2536670562276612,0.3267666611610893,103
esense,raba,18,0.2517196449093352,0.2102324816580261,101
alteo,mtelekom,19,0.24874216315070977,0.0,103
dunahouse,masterplast,6,0.24824955288777412,0.045798831888048924,103
akko,delta,11,0.2479050363306838,0.25138522861892976,103
dunahouse,waberers,10,0.24760480883908076,0.10753034055498195,103
granit,cigpannonia,18,0.24605950454168243,0.2220930252534127,102
gspark,esense,16,0.24554298028066088,0.10434789440176423,100
cigpannonia,autowallis,5,0.24424815705959219,0.0,102
opus,raba,18,0.24356307203029237,0.2819918752390519,103
delta,mtelekom,10,0.24329993437365627,0.2696181131453148,103
vertikal,esense,13,0.24134145820430988,0.3102480042958977,101
any,appeninn,5,0.24086270814767152,0.0,103
vertikal,any,6,0.23944223719411134,0.26055022177079123,103
raba,appeninn,17,0.23891664702055368,0.0908132379352227,103
autowallis,4ig,5,0.23752449626267394,0.0,103
esense,appeninn,15,0.2374283504364792,0.2757208803479952,101
raba,4ig,5,0.23719369327607143,0.0,103
richter,autowallis,5,0.23611391673893922,0.0,103
4ig,appeninn,5,0.23603573284778198,0.0,103
pannergy,delta,10,0.23251383024624347,0.03426575009995017,102
vertikal,waberers,13,0.23077003742970867,0.16271342438148162,103
bif,granit,9,0.22958132655973887,0.2031296275869094,100
masterplast,raba,8,0.224723201365969,0.21412762946487027,103
granit,esense,17,0.22381249707087358,0.2757750122945136,101
granit,4ig,5,0.21898977039042172,0.0,103
raba,masterplast,18,0.2179231255497004,0.03468600265142954,103
opus,masterplast,5,0.2177021764529401,0.0,103
raba,opus,16,0.21612468808938207,0.22847265281549772,103
akko,autowallis,5,0.2153813984722494,0.0,103
mol,autowallis,5,0.21519335394387687,0.0,103
esense,autowallis,7,0.21498509200741991,0.15285274037777857,101
cigpannonia,4ig,18,0.21208292401757053,0.09237163693375836,102
autowallis,raba,13,0.21021214421330947,0.08508918498074475,103
vertikal,autowallis,10,0.20987273961028502,0.162052984500255,103
vertikal,appeninn,5,0.20822068597399726,0.0,103
richter,raba,12,0.2079782993191462,0.14007939726095714,103
gspark,4ig,18,0.20796955605314332,0.18105266947013451,102
mol,4ig,13,0.2059153159878818,0.21086364171117228,103
