X,Y,best_k,max_corr,sharpness,n_samples
akko,vertikal,5,0.9560447782213212,0.0,103
any,vertikal,5,0.902422620840419,0.0,103
appeninn,akko,5,0.8816373483576363,0.0,103
cigpannonia,opus,6,0.8244004114560061,0.14026146101606551,102
waberers,opus,6,0.8190885858263477,0.16351371603445952,103
opus,any,5,0.7994628906069734,0.0,103
alteo,opus,6,0.7839875348173008,0.11289371877165566,103
masterplast,opus,5,0.7777944758215547,0.0,103
dunahouse,akko,5,0.7655853194376107,0.0,103
otp,cigpannonia,5,0.7578051264418029,0.0,102
mtelekom,any,5,0.745313301058158,0.0,103
mol,akko,7,0.7343897970914857,0.37183435536053344,103
any,opus,6,0.7226595471219596,0.2431585254782106,103
appeninn,opus,11,0.7197999756774086,0.08357616574910876,103
mol,pannergy,5,0.6993959759836004,0.0,102
4ig,any,5,0.6947664335285031,0.0,103
4ig,alteo,5,0.6928168573569594,0.0,103
waberers,vertikal,6,0.6890082644387774,0.48201042794375004,103
otp,autowallis,6,0.6820969145832472,0.46291894434627434,103
alteo,mol,6,0.6789820677289792,0.42611406843709243,103
delta,otp,5,0.6783075157322191,0.0,103
dunahouse,opus,6,0.6774870317529796,0.28036810273014195,103
autowallis,pannergy,5,0.6635548296864275,0.0,102
masterplast,vertikal,5,0.6574608257190891,0.0,103
mol,cigpannonia,9,0.6498888532701218,0.24760468309766137,102
autowallis,granit,6,0.6420582448672337,0.42674286854769156,103
4ig,vertikal,5,0.6369580639682924,0.0,103
mol,vertikal,7,0.6344330392437147,0.3844864793752477,103
vertikal,bif,5,0.6258740816873524,0.0,100
any,mol,5,0.6250604448640591,0.0,103
waberers,otp,5,0.6234496504740313,0.0,103
dunahouse,bif,12,0.6178376282025599,0.20182540047057818,100
richter,otp,5,0.615288442295458,0.0,103
delta,opus,6,0.6148604623178046,0.2562785133100901,103
vertikal,dunahouse,5,0.6099981086072027,0.0,103
waberers,akko,5,0.608752698047586,0.0,103
pannergy,opus,16,0.6074360283601647,0.24924982941914076,102
appeninn,granit,7,0.6048820096223556,0.09438027070588795,103
akko,bif,12,0.6011772321927461,0.27737811925626243,100
alteo,cigpannonia,6,0.6010076072615824,0.7148902300095585,102
granit,akko,11,0.598949494707103,0.24547011273556596,103
delta,alteo,17,0.5970593683426103,0.19821911180722673,103
richter,mol,5,0.5948603190510571,0.0,103
mol,opus,5,0.5933497762002289,0.0,103
otp,akko,5,0.5925468901615017,0.0,103
otp,opus,5,0.592529925957956,0.0,103
waberers,autowallis,5,0.5914247330243345,0.0,103
any,zwack,5,0.5909960650780534,0.0,103
zwack,richter,5,0.5903086266273606,0.0,103
masterplast,mol,7,0.5879892862543099,0.6577289165436068,103
mtelekom,waberers,9,0.5863449243526698,0.5776333118737433,103
alteo,bif,7,0.5819889472265489,0.23457454526303323,100
dunahouse,raba,5,0.5813701213072884,0.0,103
alteo,richter,5,0.5802676968267926,0.0,103
autowallis,mtelekom,8,0.5795946115457854,0.9076360002524235,103
esense,akko,5,0.578561125505279,0.0,101
gspark,pannergy,13,0.5761108525964291,0.40317906980247414,101
otp,bif,7,0.5760091037328721,0.43307449436517886,100
richter,pannergy,8,0.5710365195754673,0.3969907797866074,102
raba,richter,14,0.5702101725672621,0.3090524465030774,103
4ig,dunahouse,12,0.5681755020366411,0.2816248830729722,103
appeninn,gspark,5,0.5678902215253081,0.0,102
waberers,alteo,14,0.5677492664799647,0.11929484602899487,103
richter,granit,5,0.5676569492528262,0.0,103
akko,dunahouse,12,0.5667161089398334,0.20644478017254048,103
appeninn,otp,5,0.5644843205008032,0.0,103
granit,bif,6,0.5640318957658571,0.4219295971684164,100
4ig,mol,5,0.5629848492571471,0.0,103
raba,granit,14,0.5598008817010941,0.15483873224648687,103
